author,content
职业影评人,三更此回答为预测票房答主预测姜子牙票房最高并讲明自己原因我和大家一样只是凭仅有的信息和曝光预测不是机构号今天值班没有去影院但是大家留言我看到了两极分化严重我还是坚定我的选择姜子牙票房第一恭喜票房超亿评分评分预测还是不错的姜子牙上映个小时破哪吒票房纪录今年国庆目前定档电影五部主旋律三部夺冠我和我的家乡一点就到家国漫两部姜子牙木兰横空出世我个人比较喜欢和看好的是姜子牙票房很有可能会追平哪咤魔童降世我来说说自己的理解不对的请大家指正一这个导演团队很强迫症我很喜欢作为哪吒之魔童降世后光线彩条屋影业中国神话系列又一力作电影姜子牙从年筹备至今已有年时间影片导演程腾曾就职于美国梦工厂导演李炜则拥有丰富的动画电影项目经验曾参与宝莲灯主力原画大鱼海棠执行导演等近部优秀国产动画电影的制作经验丰富而影片联合导演李夏则为年在网络红极一时豆瓣评分的动画短片红领巾侠导演之一作为影片联合导演兼艺术总监的王昕曾带领暴雪团队世界顶尖游戏工作室研发制作暴雪所有电影及角色拥有十六年以上的制作经验其参与制作的项目魔兽世界守望先锋炉石传说等在国内拥有千万级别用户量被人们广为熟知包括前梦工厂暴雪导演等在内的高水准制作阵容为姜子牙的影片质量打下了坚实的基础二故事情节扑朔迷离套路满满作为国内首部将姜子牙搬上大银幕的动画电影影片姜子牙对中国传统神话中的姜子牙形象进行了大胆的改编众神之长姜子牙去神化不同于封神故事中高高在上的姜子牙影片中的姜子牙被贬下凡在初心与天命之间进行艰难抉择此外在此番发布的定档海报中身穿羽毛蓑衣手拿鱼钩的主角姜子牙背对观众与画面中巨大的原始天尊形成鲜明的对立关系元始天尊在片中是怎样的存在其与姜子牙之间有着怎样的关系而此前电影哪吒之魔童降世第三个彩蛋中姜子牙你可知罪的对话场景又在暗示着姜子牙怎样的遭遇尽管信息有限但不少观众已对姜子牙充满兴趣纷纷对影片内容进行猜测三国漫市场大复活缺作品不缺票房自年大圣归来起国漫就带给了人们一个又一个惊喜近年可以算得上是国漫历史的黄金期从去年年初良心之作的白蛇缘起到熊出没之狂野大陆再到年度票房神话哪吒之魔童降世国漫的冠军之路并不是一蹴而就而是靠着观众口碑制作精良无数动画人的艰辛换来的谁能想到年前国漫还只是受众对象为孩子的院线动画片如今国风化大众化的国漫已经站上了领奖台以一种全新的姿态傲视群雄风光无限但更可喜的绝不仅是超群的票房而是华语电影也有了如同漫威般的英雄系列继哪吒之后年光线传媒再次携姜子牙献映这次必定光芒万丈十月一日太公归来想更多的了解国庆档影片可以看我的文章
朱朱妹s,此篇概述如何不逃票不蹭票在国庆体体面面少花钱多看片的羊毛教程和电影推荐全程无电影推广也无剧透请大家放心食用国庆档期好片云集看哪部好始终是个谜题电影院虽然还没有到一票难求的境界但是电影院气氛很有节日特色人从众今年国庆档最热门的电影当属我和我的家乡姜子牙急先锋一点就到家还有夺冠很多人都会纠结看哪部片子而我就不一样了只有小孩子才做选择本成年人全都要看而且不光我全部看看完这篇回答相信你也会刷一遍毕竟我找到了一个薅羊毛买电影票的好方法不许大家再花冤枉钱了先来聊聊我对国庆档部热门电影的看法如果想直接薅羊毛拉到文尾自取给大家多一些参考选择更合适的影片目前我只看了夺冠所以先和大家说说这部说实话夺冠非常适合陪爸爸妈妈一起去看但对我个人而言整部电影看完觉得总是缺些什么可能后看起来应该会更加容易产生共鸣也更加能感受到女排精神吧毕竟那是他们美好的青春回忆在体育赛事泛娱乐化的今天我们确实很难感受到举国上下万人空巷的去看一场体育比赛的氛围所以也无法代入到那个特殊的时代因此免不了在电影情感共鸣上有种隔靴搔痒的疏离感单从人物塑造和剧情感受上来说除了对片中郎平巩俐饰演女排教练黄渤和彭昱畅分别饰演中年和青年的角色有印象外其他中国女排队员的印象可以说几乎没有只记得中间有几场热血的比赛抛开以上因素个人认为整部影片最大的亮点是巩俐饰演的郎平眼神里的那股狠劲和举手投足之间细微的小动作简直就是郎平本平其实这部电影看巩皇飙演技就已经值回票价更不用说还有黄渤一起飙戏其他部电影我从我最值得期待的开始说起我和我的家乡如果今年国庆只能选一部电影看那必定是我和我的家乡因为你看这一部电影就相当于看了部电影以位导演从不同角度拍摄的个短片形式集合而成的电影导演团队堪称国庆档最强组合宁浩徐峥陈思诚都是品质保证卡司阵容更是相当够分量黄渤葛优范伟沈腾马丽这几个名字一出场就是票房保障光看预告片就看的我心花怒放逗乐抛梗吐槽冲突每个故事都亮点频出整体来说我和我的家乡挺有合家欢的氛围基本做到众口都能调不管是情侣观看还是家庭观影哪怕一条单身狗都能找到喜欢的故事喜欢的明星接下来还要说一个我从去年一直期待到今年的姜子牙去年看完哪吒马上播了姜子牙的预告片一直无限期待姜子牙的故事虽然从小就听到大但是这次看了姜子牙的预告感觉和之前所有姜子牙的故事都不太一样以往关于姜子牙的故事大都发生在封神前这次却发生在封神后一个有强迫症的导演塑造出的有强迫症的神仙我很好奇他的细节能细致到什么程度也很好奇票房能不能超越哪吒再度封神最后再说一下急先锋和一点就到家急先锋是国庆档里唯一一个能打的动作电影光成龙两个字大家就应该懂得是什么感觉的电影了适合感觉适合喜欢看动作片的情侣党男生可以看成龙女生可以看杨洋我自己昨天刚看完本来还想说动作片嘛剧情肯定弱一点没有抱太大希望没想到看完真香比预期好看不少至少我认为是比夺冠好看的虽然动作戏为主但是剧情逻辑连贯全员演技在线关键是剧情节奏把握的太好了紧张的气氛也很抓人杨洋这次转型真的蛮成功的打戏太精彩了很推荐大家去看一点就到家说实话第一次看到这个名字还有点不知所措完全没明白讲什么但是看了预告大概能了解是三个年轻人追求梦想的故事而且顺便说一下因为男主们是要做电商所以里面还有李佳琦本色出演这个联动还有蛮有意思的和身边的朋友闺蜜一起去看挺不错以上就是我推荐给大家看的国庆档电影啦如果实在纠结选不出来看哪部的我建议都看虽然国庆档电影票价格越来越高黄金时间的好座位还很难抢但是我们还是要能省就省只选对的不要贵的小声哔哔要不是微博上好奇看到高晓松像吴亦凡的话题我还省不了这个钱聚划算百亿补贴不套路无陷阱而且是真滴便宜多出来的钱去买几杯奶茶爆米花做个快快乐乐的电影肥宅他不香吗在淘宝上找到百亿补贴入口点金秋超值购点国庆看电影现在有四个优惠选项想看什么电影自己选就好了可以再根据自己国庆期间的时间自行兑换电影票全国的电影院都是通用的需要提醒大家每个单项一次只能买张我买了张家乡的拉朋友一起看张通兑用来看姜子牙的用来看夺冠算了一下省了近了真香没看懂的宝宝可以在评论区问我最后祝大家国庆快乐也祝电影行业越来越好
元铭清,这五部电影按照现在的票房走势姜子牙其实毫无疑问是目前来说可以第一的而且如果口碑较好是完全可以打破亿票房目前口碑好像没我想的那么高身边的朋友有人说超过哪吒有人说剧情逻辑都没有看来要观望了如果真的是这样的话我和我的家乡成为最终冠军的可能性很大当然一切都要看情况要说原因嘛其实挺简单前面有个回答已经说的很清楚了群众期待值高哪吒已经给姜子牙打下了国漫之光的期待值大众都想一睹为快喜欢的甚至多刷都有可能宣传挺到位的各种联动大家看看下面这个图就知道了但虽然如此票房和口碑冠军可能都是姜子牙但是我还是要说一句我和我的家乡可能会成为插足票房和口碑冠军的一部电影晚上的点映那是真漂亮说实话邓超俞白眉徐峥开心麻花俩导演宁浩还好点导致我的期待值不是很高但是五个单元剧没有一个拖后腿的不同于祖国参差不齐的质量家乡的五个故事质量差不多甚至套路差不多喜剧加上泪点由于很多人还没看我就不剧透了怎么说呢喜欢的都喜欢不喜欢的可能都感觉无感我个人是比较喜欢那种多故事的电影类型用多个故事表达主题还是挺浪漫的这五个故事如果放在祖国里都属于不错的一栏在祖国中的北京你好那一档的质量五个故事发挥都不错虽然还是有瑕疵啦比如有一两个故事最后情感没上来稍微刻意一点但是总体还是不错的不过当然可能是我期待值不高我本以为是个主旋律满满的尴尬的电影没想到意外的自然很舒服大家还没看我就不多说了建议大家先看姜子牙后看我和我的家乡无论怎样这两部一定要看我的五个故事排名的话最后一课神笔马亮北京好人回乡之路另外说一下一点就到家这部电影我个人不是非常看好主要是因为这是一部近似中国合伙人的电影但是却用了喜剧的方式去演绎至少预告片是这样的那么这样的问题就是电影很可能过多的注重于笑料反而对于人物刻画成长历程转变并不仔细这是一个很常见的问题毕竟许宏宇不是陈可辛后者只是监制急先锋不说了直接否定掉如果有人说这个电影超棒或者票房会很高就反对一下吧作为一个影评人我表示身边很多人都收钱了比如某个公司花四百元找我写软文希望花钱干点正事好吗我们不是去看唐季礼是去看成龙但是老套的剧情打戏与笑点匀给杨洋和艾伦也不是个聪明的选择这只是一个很正常的爆米花电影大部分观众已经不吃这一套了单论口碑和票房都难走高夺冠的话我说一下我的评价吧首先注定票房不会好了口碑的话良莠不齐不过电影确实是把煽情的地方拍出来了剪辑不错尤其是赛场的剪辑配合升格镜头还蛮像那么回事也有紧张刺激剪辑结构也挺好的至少看得出来煽情的想法还不错然后有几场戏蛮有闪光点的可以说演员演的确实不错可是前半段有很多很官方的台词听得我好尴尬啊一本正经的打着听了无数遍的鸡血然后叙事节奏七平八稳要不是赛场的剪辑过关真的有流水账的感觉该有的情感其实并没表现的很好然后整部电影也有很多不太重要的场景使得叙事有点碎所以吧国庆档票房和口碑冠军不出意外是姜子牙但是我和我的家乡值得一看最后祝大家国庆中秋双节快乐呀
狐狸晨曦,没有悬念了家乡简直王炸质量和观影体验更超过去年祖国看好票房亿以上和八佰争夺今年的全球票房冠军徐峥范伟和沈腾两个单元太精彩了邓超单元也不错十分打动人心黄渤王宝强单元至少还比较搞笑宁浩葛优单元也继承保持了去年祖国同一单元的水准姜子牙偏文青有想法但曲高和寡而且偏成人小孩子未必喜欢评价注定两极分化豆瓣分比猫眼淘淘宝分还高的动画片目前调整为亿级别吧仅仅因为哪吒而支持的以为是同类型作品的人肯定大失所望夺冠问题还是出在陈忠和黄渤情节拉胯老女排没姓名年惊天逆转俄罗斯一战根本不提上目前也是亿级别急先锋抬走吧这种打着成龙电影的招牌结果成龙就那么点戏份和打戏的电影情节老套细节粗糙转承生硬打斗靠剪辑人人都尬演捞个三五亿票房就可以了就等着一点就到家能否成为黑马了
娱乐批评家-鱼皮,参加了某个营销号的有奖预估我的预估是票房姜子牙我和我的家乡夺冠其他两部估计也就那样理由是姜子牙是光线学院派之作相比哪吒这种个人英雄成长记姜子牙的人物线和故事线会更复杂对于我们默认的那个故事模板改动会越大这不是靠个人特色的新编故事可以驾驭的团队作战和按着学院派的剧本逻辑去修改才比较容易出一个稳妥和逻辑通畅的剧本加上动画电影故事情节没有特别的时效性所以延迟几个月上映这过去的几个月光线可以对成片做细微的调整可以作为电影的营销期好好利用可以说姜子牙应该是受疫情影响最小的电影而且营销做得好的话这几个月延期反而可以将劣势变为优势加大观众对电影的期待值而且姜子牙的故事相比哪吒在年龄段上在受众面上会更广最起码老人家对于姜子牙的兴趣会比哪吒更大一些故而姜子牙在准备申请龙标的时候预定的档期就是大档期贺岁档其实之前是元旦或者今年暑期后来哪吒大卖直接升贺岁剧了可见光线内部对姜子牙的期待有多高以我买了一年光线股票没有亏损的一点经验来看内部认同是对电影内容最好的保证以此我也对姜子牙信心较大家乡很难重复祖国的成功首先名字上家乡就没有祖国那么容易带票房虽说一二线城市观影人数已经没有三四线占比那么高了但是带有人群指向较明显的家乡标签是会屏蔽一些优质的观影群比如在城市里长大的孩子他们的家乡就是城市啊然而看预告片似乎制作方把乡村和家乡的概念混为一谈了不看好夺冠基于陈可辛的文化认知一直与大陆文化有距离纵观陈可辛来大陆拍戏的几部作品投名状中国合伙人票房都不超过亿反而是他监制的作品比较容易出彩比如让周冬雨拿到大满贯的那部不是说陈导的能力不足他的戏一直是拿奖专业户能力上不容置疑而是他的文化认知与大陆的有隔阂有距离这点王晶参加圆桌派的时候也有提到很多香港导演知名度高能力强但是来大陆拍戏之后票房就是起不来大多是文化认知差异的问题陈导在电影的营销上能力大于很多导演可惜在内容的共鸣度上总是差点火候他又一直想往情感戏这块发力后面还有一部个人传记型电影李娜估计也是走这个路线个人觉得这条路许鞍华已经珠玉在前天水围的日与夜可谓港式温情戏的天花板陈可辛仅仅是通过将题材从港式小人物情感换成大陆的知名人物情感就想越过这个天花板难以上仅为个人拙见如果你杠就你对
陆识,大致判断如下立此存照月下旬再来看差多少我和我的家乡亿夺冠亿姜子牙亿急先锋亿一点就到家亿合计亿当然这是影片总票房国庆档天预估亿晚更新刚刚看完了夺冠低于预期低于预告整场电影最感动的是老女排尤其是大年夜那个球训练那场戏真的豁出命去打球又哭又燃从年那场中国输掉陈忠和输给郎平后面节奏就慢了下来反复纠缠在郎平个人选择陈忠和的让贤描绘郎平心理状态对新女排的着力少了选队员就交代不清后面郎平除了改革搞大国家队改首发这种对整体执教思路和方法战略都交代不清只有快乐排球排球不是全部生活拼搏那股劲泄了导致最终那场比赛也燃不起来前极好后面垮掉了现在看来提档是怕了现在夺冠能不能过亿要看对手给不给机会了因此调整票房预测如下我和我的家乡亿姜子牙亿夺冠亿急先锋亿一点就到家亿早更夺冠在这个国庆前唯一假日只拿到了万基本已经宣告了这部影片的失败因为十一当日排片已经极度压缩而急先锋排片明显超过原本期待另一点就到家开启点映口碑看也低于预期因此调整预测结果如下我和我的家乡亿姜子牙亿急先锋亿夺冠亿一点就到家亿某种程度而言不看片预测票房确实是不太靠谱看完打脸晚更看完了我和我的家乡不可能到我和我的祖国的水平但还是国庆档第一梯队唯一的对手是姜子牙个故事里陈思诚的天上掉下个垮掉其他故事都还可以的尤其是麻花的神笔马亮和范伟徐峥的最后一课一个非常搞笑一个心酸催泪质量上都是上品整体稍低于预期但亿是稳了能不能到亿要看姜子牙的真实水平了急先锋昨天做了观影团整体口碑低于预期看来就是成龙传统套路没有什么新意大哥也打不动了这种水平在这个档期只能是备胎大家都没啥口碑还能分一杯羹否则就只有大哥动作片受众的基本盘了因此调整预测结果如下我和我的家乡亿姜子牙亿急先锋亿夺冠亿一点就到家亿从预售看整体大盘远低于最开始的预期爆发性观影也并没有到来所以大家也不能出国都在国内旅游吗困惑中早更万万没想到最低于预期的竟然是姜子牙非常失望看来提前不做点映不做观影团活动果然是有原因的现在甚至都很怀疑彩条屋知不知道哪吒是怎么爆的这是个大叔萝莉故事后面又变成了抗击强权阴谋故事是不是听起来似曾相识对哪吒也是抗击但抗击的是出身宿命哪吒有母子情有师徒情有兄弟情有为陈塘关的牺牲姜子牙却是揭开黑幕沉闷抑郁的中年大叔和萝莉的发现之旅区别是前面你能看到你我这些普通人的挣扎痛苦还能再电影里借着哪吒喘一口生活中的恶气后者与我何干情感平平没有泪点没有燃点笑点也极少节奏完全拉垮很多时候慢到只好看手机这么一部影片全片最心疼的竟然是个为了人牺牲的宠物四不像不知道说什么好只能说不看片就预测就等着打脸今年是我和我的家乡一家独大格局了我和我的家乡亿姜子牙亿急先锋亿夺冠亿一点就到家亿
杨建东,看好夺冠看了之前姜子牙的预告觉得这部动画到时候争议会比较大我对编剧的能力点怀疑连基本的台词都没有合格到时候票房可能未必有预期那么高说不定站还会出现一大堆中国神话宇宙中道崩殂就此夭折之类的视频至于我和我的故乡从预告片来看质量就不行让人皮笑肉不笑感觉和囧妈差不多水平就是蹭我和我的祖国热度来的甚至不如姜子牙
白 发,按向平均数回归理论来说当一件事情做得好到极其超越它的平均水平时那么第二次再做这件事的时候极大的概率会出现水平下降向平均水平回归这是一种自然现象哪吒所带来的震撼力和影响力是极大的超越了此前的国产动漫水平的在这样的铺垫下姜子牙应该会出现大概率的水平下降现象大家用平常的心态去对待姜子牙就好若姜子牙超越哪吒我们会不吝掌声的为它欢呼看了下排名图我之前还认为姜子牙榜首夺冠第二我和我的家乡第三差不多这样尤其对于我和我的家乡这种乡村又搞笑的类型确实容易让人觉得很接地气不过之前看完夺冠对我来说煽情的地方确实做得挺得当把一个集体放大而不是某个主角光环尽管影评的声音有好有坏但我依旧支持它然而就在分钟前超过了我们都知道上美厂辉煌的荣耀一去不复返了但我们落后了这么多年就更应该多给自己一点耐心国外有迪士尼宫崎骏难道我们只有喜羊羊最近这几年国产动画好不容易有一点起色我觉得这是一种进步至少总算有人愿意投资了有人愿意花时间和心力去钻研了尽管尚未追回当年被世界推崇的高度为了商业化必须有所妥协但成品依然还有打磨空间这些值得我们当代的每一个中国的年轻人去努力至少也是中国在动画史上一次又一次的进击历程国漫加油
夏之树,夺冠我首映就看了个人觉得已扑街我和我的家乡国庆档期间应该是票房最高预计亿左右作为我和我的祖国姊妹篇这次主题更接地气若不受疫情影响我觉得票房超我和我的祖国肯定没问题它也是我国庆档的观影首选长线的话看姜子牙毕竟有哪吒这个珠玉在前我个人对哪吒无感票房肯定也不会低最终票房预计会是这几部里做最高的亿的样子吧如果口碑还不如哪吒那就顶不过我和我的家乡了能拿个亿就很不错了第三或许是一点就到家吧毕竟主创团队还是有保障的个人还是比较相信陈可辛的水准夺冠明显是有外界干预才搞成现在这种四不像又像纪录片又像剧情片又像传记又像爱国主义教育片一点到家的票房得看后续口碑冲到亿元就是胜利毕竟题材受限
门徒,作为全刷完的观众我想我还是有资格回答下的首先我会按照个人喜好给电影排序然后也会预测下各自的票房成绩希望读者们可以根据自我喜好观看避免雷区接下来长文预警五颗星我和我的家乡个人评分票房预估亿当然五颗星不是满分的意思只是在整个国庆档里它确实是观感最好也是最有卖相的基本就是国庆档最佳预定没想到我和我的系列到了第二年竟然还能拍的如此惊喜跟完满看我和我的家乡前其实我期待不高的毕竟这种命题作文尤其到了第二年大多是狗尾续貂但看完这部才发现整部电影的主题契合整体完成度笑点泪点以及演员们的表演都要远好过我和我的祖国要知道在我和我的祖国那部作品里某些导演的段落还是比较拉垮的五个故事基本上观感好的只有两三个但是在我和我的家乡里根本没有任何一个拉垮所有导演的所有段落都是笑中带泪所以全场两个半小时也是始终节奏高亢从头笑到尾而且笑完还带着泪当然如果让我排序下那就是北京你好回家之路神笔马良最后一课天上掉下个虽然排名有先后但整体效果都很棒只是其中有优秀跟更优秀罢了除外四颗星夺冠个人评分票房预测亿注定是个受争议的作品但是就算受争议个人觉得也比另外几个强一些按我个人观感相比我和我的家乡更喜欢夺冠但为了遵从大众的审美趣味那就把它放第二吧首先我知道陈可辛会拍知道巩俐黄渤会演知道电影质量不会差但还是没料到会拍的这么好全程两个多小时用三个时代女排串联起了郎平的平生更串联起女排精神中国发展的缩影看得我真是激情澎湃热血沸腾啊陈可辛真的真的太懂情绪表达了那些平行剪辑那些历史缩影那些比赛现场还原更重要的是巩俐跟黄渤角色间一生的交织跟扶持都浓缩在了电影它们浓缩的如此悄无声息以至于从彭昱畅到黄渤的过度从白浪到巩俐的过度是如此了无痕迹就如同现实中中国女排的样貌去拼搏去争取最后后半段主题的升华从为国家到为了自己那一声声的高亢那一声声的回响那一声声朱婷扣杀砸在对方地板上的重量让观众真的瞬间痛哭流涕啊真的太棒了至少我是喜欢的三颗星姜子牙个人评分票房预测亿说实话我个人还是蛮喜欢的不过我也理解大众两极化的评价确实从整体而言姜子牙观感不如哪吒让你能从开始笑到最后哭一路都能很嗨姜子牙以公路片这种结构呈现就注定了它对标的不可能是哪吒而有可能是大圣归来因为确实姜子牙情节设定挺老套基本跟大圣归来一个框架就是用公路片的形式以这种失落大叔与小孩的搭配组合完成自我救赎之旅这也是好莱坞电影的常见形式所以对姜子牙期待从头爽到尾的观众可能就要失望了因为它确实结构有些老套一些笑点制造也比较少再者就是情绪也不够饱满一些本该能将情绪烘上去的点比如跟小九告别比如斩断天梯这些主要的情感点呈现的太死板了大众基本上也猜到了这个结构惊喜感不够而且整体神话体系下也有一些经不起推敲还有就是一些台词设计痕迹有点重有可能让人出戏这些都让姜子牙不可能被大众很喜欢当然这也不说明姜子牙不好因为其实它完成度很高了无论是画面还是故事完整性都不错只是当我们以为它对标的是哪吒期待值过高就会导致这种落差感那为什么我喜欢姜子牙这方面跟我个人喜好有关我不太喜欢纯粹的喜剧爽剧作为一部电影我不希望它纯粹讨好观众而是应该有自己的命题表达在这方面姜子牙的命题很常见就是找寻自己甚至不惜背叛天道这种反套路的方式不为苍天为个人的叛逆是我觉得很不错的而且在整个呈现过程中它的呈现气质是很完整的而不是说哪吒为了迎合大众有太多花哨的设计比如哪吒师父的角色设计基本就是一个喜剧样板再比如刻意制造的敖丙跟哪吒这种讨巧的设计虽然会让观众嗨但过于喧宾夺主也会让人厌烦两颗星一点就到家个人评分票房预测亿其实呢两颗星也是可以的只是作为一部真人电影这种电影的设计真的太无聊太无趣了虽然前面有些笑点跟滑稽还有些小俏皮但是当后半段开始狂煽情开始围绕扶贫致富主题整部电影基本就跟闹着玩一样的创业全都崩碎了当然这个电影之所以差劲最大原因还是因为太赶了因为是疫情后开始拍摄的因为是命题作品因为要求十一必须上映可想而知剧组迫切程度演员也是从其他剧组挖来的比如彭昱畅就是在陈可辛那里拍完夺冠被推荐到这里陈可辛为该片监制譬如刘昊然也是在拍完我和我的家乡就来到了这里甚至这部电影主题跟地方还是刘昊然上个电影的云南就这你就能看出来导演组有多懒了吧所以不好看也是理所当然一颗星急先锋个人评分票贩预测亿你要问我如何评价它其实没什么评价的它既是一贯的成龙喜剧动作片这种动作喜剧你也知道差也不会差到哪里去而且这部作品成龙跟唐季礼周转多个国家多个城市拍摄风景旖旎视觉惊艳再加上成龙全球影响力实在太大基本到了哪个国家都会得到当地政府的帮助于是在这部片里哪些大场面高端武器也会让你看的目不暇接可以说也就是成龙能毫不费力拍出这样一部准好莱坞动作片如果你是国庆档图欢乐跟开心这个挺适合你的因为将近两个小时从头打到尾全程无尿点但就是太老套了成龙也只是走个过程难免有点困
