author,content
弗兰克扬,作为一个既喝茶又喝咖啡而且两样都喝了很多年的人我个人的感受觉得现在的人尤其是年轻人更偏向于咖啡的原因主要有以下几个方面原因不可否认的是在文化宣传方面咖啡确实远比茶要多很多随处可见的喝咖啡文化都在给年轻人一种暗示喝咖啡是现代生活中的一部分而喝茶却被认为是某些人群特有的行为甚至一般还会和中老年人联系在一起另一方面就是茶叶行业的水太深了很多时候并不是一分价钱一分货有钱也买不到好货再加上缺乏靠谱的鉴赏能力就会让许多对茶只是感一点兴趣的人望而却步与之相对应的是葡萄酒精酿啤酒和精品咖啡行业虽然以前也是水很深大量次品鱼目混珠很容易花钱也买不到好货但这些年随着自媒体的发展很多人开始在自媒体上普及各种酒和咖啡的知识这就让很多感兴趣的人有了一个比较简便地学习这个行业知识的途径逐渐对这一行有了了解自然也就开始有了喝酒和咖啡的习惯与之相对的是茶叶方面的知识学习内容的丰富程度还远远不及葡萄酒和精酿啤酒和咖啡网上的讲喝茶的自媒体更多的还是茶农和茶叶经销商在卖自己的产品的同时顺便讲点茶叶知识更加重要的还是不够透明让人时刻都一种可能会被坑的感觉从而让许多人敬而远之现在咖啡精酿啤酒葡萄酒等行业因为做的人很多价格已经很透明了而且也比较容易鉴别真假不容易被坑比如说一瓶野格大部分对酒有所了解的人都能知道大概是个什么价位对于城市上班的职场人来说选择咖啡还是因为更加便利满大街都是星巴克和其他品牌咖啡店便利店记也都有廉价咖啡网上还有各种方便购买的不同档次的速溶和挂耳咖啡可以选择所以咖啡比茶叶在城市里更加流行还是有原因的但这并不说明咖啡比茶好喝只不过茶想要入门并且随时随地喝上一定品质的茶有些难不过没关系我们有庞大的奶茶行业这些奶茶和果茶的风靡就说明了茶饮料并不比咖啡差
胖博士,你以为社畜们喝的是茶喝的是咖啡它们要的只是快速廉价的鸡血而已而咖啡正好满足了这个需求茶和咖啡作为世界三大饮品之一另外一个是可可都能提供咖啡因不同的是茶叶中除了咖啡因之外还有少量的茶碱咖啡中的主要活性物质就是咖啡因咖啡因能够和大脑中的受体结合促进血液流动提升血压让人兴奋从而摆脱疲倦状态对于睡眠严重不足平时下班要么约会聚会要么和娃斗智斗勇的社畜来说简直是续命神器俗称鸡血咖啡因的摄入能够提升血压不过但凡有比较就有伤害和茶叶相比咖啡能够更廉价更快速的补充咖啡因因此得到了社畜们越来越多的喜爱为什么说咖啡比茶叶更快速补充咖啡因呢研究人员对咖啡和茶叶中的咖啡因含量进行了测量结果显示单位重量的茶叶比咖啡含有的咖啡因高的多粗看起来似乎喝茶才是补充咖啡因的正道茶叶可可和咖啡豆中咖啡因含量比较但是茶叶和咖啡豆的冲泡和饮用方式不一样关键在于把咖啡因转移到茶汤或者咖啡中所以这是个典型的化工传质问题大家常喝的茶叶都是片状比如龙井或者条状大颗粒比如铁观音应该没几个人喜欢茶包吧而咖啡豆在咖啡机里会变成粉按照我们化工的观点单位时间内的传质总量取决于传质通量何面积在通量类似的前提下传质面积越大传质总量越多因为咖啡都是粉状所以能从咖啡中提取出来的咖啡因越多泡茶只是一个普通的扩散传质过程而大家常用的咖啡机不仅将咖啡磨成粉更采用高压蒸汽萃取咖啡精华这样一来有点类似强化传质提取效率也几何级上升冲泡咖啡的过程相比泡茶有更高的传质通量和传质面积单位时间内能提取出来的咖啡因总量也就高得多根据统计一杯盎司的咖啡中咖啡因的含量普遍在以上而一杯茶中只有几十算起来一杯咖啡的咖啡因含量至少是茶的五倍值得注意的是这里的茶是按照老外的方式使用茶包冲泡的如果按照我们中式的冲泡方式咖啡因的含量更低保守估计十倍应该是有的茶和咖啡饮料中咖啡因的含量所以假设一名社畜的上午时光需要一杯咖啡就可以拯救那么如果他喝茶则需要十杯一上午灌那么多水半小时去一趟厕所这带薪上厕所的帽子扣下来年底考评还要不要了很多人觉得咖啡贵其实喝咖啡成本比茶低多了大家平时也就喝一喝星巴克瑞幸之类的星巴克咖啡豆的价格也就一百多一斤相比下来一百多一斤也就能买到普洱生茶了龙井之类的就别想了当然茶叶和咖啡都有很廉价的比如特朗普超级便宜速溶的咖啡也不贵宝上的特朗普茶饼便宜量又足至于逼格竟然有人会觉得咖啡比茶的逼格高去企业家的办公室坐一圈谁给你喝咖啡都是喝茶好吧星巴克喝一杯咖啡也就三十块钱去茶馆喝茶人均至少五十往上了一百块可以买一个不错的咖啡杯而一百块只能买最劣质的茶具再要投资的话消费级的咖啡机一万元以内可以搞定便宜的甚至一千块而泡茶的话得有个茶桌吧虽然茶桌不贵几千块也可以搞定但是咖啡机多大茶桌多大加上椅子茶桌至少得四平米了在魔都外环外房价都超过五万一平米的今天这部分投资成本就是二十万往大了说茶是文化咖啡只是饮品茶需要细细品而咖啡在中国只是快餐喝茶需要像陆游矮纸斜行闲作草晴窗细乳戏分茶慢慢的品味悠然自得或者像苏东坡且将新火试新茶诗酒趁年华不仅有茶还有诗和酒做伴这才是中国人喝茶的方式比起在星巴克点一杯卡布奇诺或者瑞幸点一杯外卖不知道高明到哪里去了可是社畜有这种闲情逸致吗最后赞一下题主的观察力统计数据也支持题主的观点在茶和咖啡的对比中咖啡越来越有优势虽然年我国整体茶叶市场仍然有亿人民币而咖啡的市场是亿人民币我国茶叶市场变化数据来自前瞻产业研究院但是咖啡市场的增速接近而茶叶的市场增速只有根据现有市场增速咖啡很快将超过茶叶我国咖啡市场规模数据来自前瞻产业研究院所以现代中国人的确越来越偏向咖啡原因不在于咖啡有逼格而是在于在快节奏的现代社会社畜们根本没有时间坐下来细细品味一杯茶只能用咖啡快速廉价的补充咖啡因给苦逼的生活打鸡血参考文献
饭小呆呆,我二者都来我福建的喝茶是天生的家家户户都有茶树从小到大在我们那里白开水只有生病的时候才喝的因为怕茶会散掉药性后来因为去外地读书也就慢慢的改了习惯也学习别人和白开水了现在茶叶是挺贵的稍微品质好点的从家里拿货都百来块太便宜的说实在我也不太喝家里有这条件我喝的一斤你买估计就要多了咖啡我也喝自己做过咖啡店发现手磨咖啡其实更多的是时间成本本身是很便宜的所以我基本都知道喝手磨的就是图便宜很多时候比几毛钱的速溶都便宜咖啡豆我买了很多样的有多半斤的这类豆子重度烘焙喝起来贼难喝焦苦之味溢于空气但是他咖啡因很多困的时候提神醒脑效果非常好还有这样的咖啡加糖加奶做卡布奇诺或者拿铁都特别好做奶茶的时候都是用那种茶包就是茶叶渣渣来泡的单喝贼难喝但是加糖加奶做的奶茶就是比用好茶泡出来的好喝和刚才说的咖啡豆一样因为这种东西它本身的风味太少所以很容易被后加进来的奶味和糖味融合所以反而更有味道而那种好茶好豆子它们本身的味道足够浓郁很难被比下去所以最好的就是直接喝别加太多东西去浪费钱回到正题我喝咖啡也不太久没有明确自己喜欢的豆子所以也买了很多咖啡豆按斤来算百来块的也有几百的也有几十的也有咖啡也像茶叶一样不同产地风味冲泡器具手法甚至时间等都会对味道产生变化有些东西看着很玄学但是是真的茶道或者咖啡日式那种仪式都会非常强仪式这种东西就好像是二个人做快乐事前的调情总比单刀直入要呻吟好多吧国人为什么会更爱咖啡呢我想问这话的应该是年轻人咖啡大部人只是把他提神用的还有也只是因为喝咖啡方便这东西没有什么人了解好装逼大部人喝的最贵的也就是星爸爸很多人喝的咖啡也就等同于我们国的奶茶罢了真正的咖啡都不算茶年轻人不爱一方面是太烫爱喝茶的人嘴巴都像是铁做都滚烫的茶水一饮而尽有些人偏爱等茶凉了才喝茶凉了还能叫茶吗第二像电视里老先生喝茶喝一口茶吐一口沫这样太不雅观了年轻人学不来第三茶叶很贵的我找朋友买了一斤茶最便宜的一斤同事都觉得好贵平常奶茶十几块一杯几十块一杯也不觉得贵我一斤茶喝几个月的二百块不到怎么会贵嘞年轻人会不会算账了
渡鸦,得看哪里人北上广深我猜喝咖啡的多但是你来福建生活一段时间就知道了比如厦门吧年有新闻说连续年厦门咖啡馆密度全国第一其实这些大多数是给外地游客准备的本地人哪怕是年轻人还是喝茶的多这是风俗像我这种外地人来厦安家的在家里置办一台半自动咖啡机他们都觉得不可思议其实我老爹觉得我也不可思议他特别喜欢喝茶但是我几乎不喝
tao tao,知乎惯例先问是不是再问为什么如果用喝清咖的人和喝清茶的人对比我相信是喝茶的人多如果用喝奶咖的人和喝奶茶的人对比我相信喝奶茶的人多用喝奶咖的人和喝清茶的人做对比没啥意义
here hiro,我推测大概率是因为中国的茶相关的产业的目标人群是中老年人而咖啡对准的目标人群是年轻人其实人是很容易受到宣传影响的举例就是华为苹果小米这几个手机品牌给人的形象不同高端国产年轻潮流年轻极客等买的人也会根据自己对这几个牌子的印象而选择不同的手机而茶和咖啡也是差不多年轻人比较喜欢的茶大概就是花茶吧
小怪兽不高兴,因为茶贵啊又耗时间就是弄台加上手冲壶秤滤纸加起来都用不了两万块在家做足够了几万到十万左右的半自动咖啡机不适合在家用而且有那个钱还不如去咖啡馆呢就是天天摁着瑰夏喝才多少钱一斤再说茶我也想喝茶啊可是感觉喝不起不说茶叶都什么价我感觉自己在家弄个茶盘弄点好点的茶具都已经不便宜了而且也没那么多闲时间啊茶叶那么贵总不能泡两泡就不喝了扔掉吧像我这种穷人反正没那么多时间
可乐,问题本身貌似就有问题为什么现在人不喜欢喝茶更多偏向于咖啡呢问题本身的支持数据是什么在中国咖啡绝对还是非主流喝茶却可能是绝对的主流不信你可以去四川成都溜一圈茶馆林立我是不是也可以问为什么现在是不喜欢喝酒而更喜欢喝饮料认为不喜欢喝白酒比如茅台可能只是你还太年轻我自己特别喜欢喝咖啡对茶不熟去任何陌生的地方都是先找咖啡店机场里面我最熟悉的地方永远是星巴克我最早喜欢上喝咖啡的原因已经不知道了现在就是纯粹的喜欢但是常喝却是有原因的第一健康适当摄入咖啡因对人身体有益无害背后有的数据支持基本可以放心这个结论第二休闲娱乐的一种方式闲来无事喝杯咖啡三五好友相聚喝杯咖啡新品上市来一杯困意来袭来一杯人生乐事什么阿拉比卡罗布斯塔什么美式意式浓缩什么手冲滴滤品尝一下是必须的尤其是在一些阴郁的天气下一倍暖暖的甘醇略带苦涩的咖啡入口心情瞬间就晴朗了第三提神醒脑中午一杯咖啡下午的工作效率会成倍提升但是友情提醒一定不要把咖啡喝成提神醒脑的功能饮料咖啡背后的诗意和文化更值得琢磨和研究
爱尔奎德,你告诉我谁不喜欢喝奶茶
Xief,常年快节奏工作有一段时间睡眠不好白天没精神喝茶也喝咖啡后来就变成咖啡为主最大的原因在于咖啡来的快去的也快早上喝杯咖啡马上状态就来了上午工作中午眯会下午继续晚上该睡觉睡觉可是如果喝茶一泡茶喝完了快中午了淡了没什么明显效果浓了容易心悸也不是那么精神而且一旦白天喝一上午茶晚上经常心神不宁影响睡眠白天不提神晚上才来劲这个节奏真心受不了另外咖啡这东西确实比茶要瘾大而且光闻味道也提神那种只能讲可能对于更多的人咖啡更适合快节奏的都市生活至于什么文化什么品味我跟你讲如果是早上在家吃饭的话一半的时候我都是满嘴蒜味喝咖啡的很好奇某位清口创始人会如何评价我既然已经破坏了气氛那就放飞自我彻底反转下吧跟大家透露一个秘密早餐之后一杯咖啡通便效果超级好手动捂脸表情
