author,content
李建秋,战力是几除了武器外人要有战争的意愿以台湾最会喷的为例只需要打下面的语句搜索一下打仗很多关于战争的帖子都有了随便截图一个按照顺序截图的没有任何更改奇怪吗不奇怪我们看看之前吼台独的声音最大的几个台湾政客林飞帆替代役陈为廷替代役黄国昌近视高达度没有服役林昶佐在大学期间因为兵役问题异常焦虑以至于都得了焦虑症免服兵役陈水扁天生的右手手肘外弯过大免服兵役其实在台湾到处都是这号人比如说蔡丁贵吴澧培是双重国籍你问爱不爱台湾他们比谁都爱台湾你问他们想不想台独他们比谁都想台独你问他们要不要服兵役他们说自己家里真有一头牛这就没法弄了
周大厨,老先生虽然爱国但说台军战力为零也就是气愤之语当不得真且不说主战装备也不说台军常年到名左右的世界排名就是台军多万人一人只拿把枪战斗力也不可能是啊不过呢孙子兵法说得好三军可夺气将军可夺心气实则斗气夺则走没有士气的部队比战斗力为零高不到哪儿去所以苻坚败于淝水之战后带着残军一路狂奔时留下了风声鹤唳草木皆兵的典故所以年对印那场战斗里庞国兴三人能追着几百印军屁股打所以年的莱芜战役里华东野战军面对优势兵力的精锐果军不到天就歼敌五万多人消息传到时任山东一把手第二绥靖区司令长官王耀武的耳朵里留下了一句名言五万多人三天就被消灭光就是放五万头猪叫共军抓三天也抓不完啊所以才会出现这样的新闻既然说到庞国兴他在年月日组织新兵进行投弹训练中因为一个新兵过于紧张导致手榴弹失手脱落为了保护周围战士庞国兴毫不犹豫趴在了手榴弹上最终不幸牺牲年仅岁今天是烈士纪念日向庞国兴同志致以敬意革命烈士永垂不朽
大海,国庆到了在此良辰吉日对面也成立战忽局了吗和我们比这个战忽水平他们还真不行请的老资格名誉局长和拜登一样迷糊吃了药出来发言又用力过猛直接把自己人忽悠瘸了这么不敬业地工作下次怎么忽悠海峡西面的对手们我们对面军事实力当然不是零只是和我们这边强大的战略力量及战略纵深比起来只是个小刺猬而已一起看看对面最强的空军水平如何对面空军作战飞机高达架全球空军实力排名得分分排名全球名碾压参评的个国家中三分之二的国家架还加订了架架经国号架幻影架架反潜机架预警机我们来比一比就知道对面空军的实力了巴西大吧人家空军就架和加战五渣型的土耳其强吧架架加拿大大吧架战斗机土澳是西方国家吧架外加架只可惜对面是我们强大祖国我们眼里的对手主要还是鹰酱要是说到陆军和海军什么勇虎坦克什么基德级战舰什么海龙海虎那些也真不够看的其实这位陆军总司令说话还是有点道理的把的全部陆军放到朱日和被红军短程导弹远火炮群一通洗地之后再被突击一把说战力接近为零还算有逻辑只是的空军还是要靠我们更多的歼碾压等隐轰和电磁弹射出来的士气倒是可以趋近于零了
鹿将归,私以为台湾军人内心深处是害怕胜利的因为失败一切就结束了心安理得投降就好了以后都踏实了悬了几十年的心和吹了几十年的牛都可以有个了断但如果一不小心在前期有一个意外的小胜局面那才是噩梦的开始因为再也没有回头路连跪的机会都没了因为大陆自始自终有信仰就是统一你但是台湾没有它只想苟活哪怕咋呼这么欢但都是假象菜为了霉国支持和选情部队大佬和学者为了自己前途都会不遗余力给自己壮胆真正一线士兵心里想什么可能真的要打响第一枪后才能下决心跪没有信仰的军队就没有求胜心乌合之众就怕战斗太快来不及起义就结束了解放军同志我们一直在准备起义的昨天睡太晚了没听见枪响啊国歌我早就学会了我还练习了九种投降姿势
邓铂鋆,蔡女士和蓬佩奥也这么想所以米囯务必要给蔡女士十月惊奇大礼包让美台关系更进一步让蔡女士迈出勇敢的一步我期待蓬佩奥为实现东亚长期和平稳定的最终解决方案贡献力量多年前国军曾经有起义的念头观点跟陈老相近的大佬不止一人当年计划流产国军遭到了层层监军枪弹分离的约束直接影响了今天以武拒统的实力军人想开枪先找监军要子弹监军那里的子弹也是有限的多打几天必须请上级调货
爱死麦迪,昨天看了一期王炳忠讲台湾王哥就最近两份台湾岛内关于民调分别是万一大陆打来了你会不会抵抗以及万一打不过你会选择怎么做有意思的是前一份民调是街头随机采访路人而后一份是邮寄到读者家里前一份民调显示有近的人选择要坚持抵抗还有近的人选择美国会来帮助台湾后一份民调则显示多数人认为打不过应以和平谈判为最终结局王哥在视频里都要无语了这两份民调无非就是在表达台湾人面子上一定要说抵抗到底但其实内心觉得是打不过的那打不过怎么办呢那就大陆打过来我们再投降嘛王哥在视频里直接都说了贱不贱呐现在有的和谈有相当高的地位和条件等着你来谈你偏不要非要人家打上门来你再讲和谈到时候还是和谈吗那叫乞降至于台军的战斗力到底如何我看这还不是重要的问题了因为这支军队根本不知为何而战一支没有信仰没有远大目标的军队哪怕拿着最先进的武器那么这帮人手上和拿着烧火棍也没什么区别今天祝贺各位国庆快乐
杨超越黑粉头子站,很明显这是空军的前戏实在做的太足了湾湾有点受不了有些人开始求饶啦不过搞笑的是还有些人去启动了精神高潮模式前几天湾湾画家画了个垂死的歼要义卖越是画什么就越怕什么看来歼衢州露脸了一次把他们吓的够呛南望王师又一年王师只剩意淫连只能做白日梦才能勉强支持下去这个导弹就是湾湾嘴里原型机的雄三飞弹万物起源雄三额那为什么不叫雌三呢其实其实也是抄熊的放大了加俩翅膀而已更精神错乱的还要看国防部长说台军将靠奇袭获胜台军凭什么呢凭系统里开局输入吗如果是推演过程是指台军第一时间投诚然后奇袭蔡英文总统府抢先拿下那说最终获胜倒是没毛病这种事情草莓兵其实还真干得出来之前就有草莓兵卖湾湾的军事资料结果因为价值太低卖不掉你无法想象草莓兵有什么奇奇怪怪的行为我非常好奇印度和草莓兵要是干一仗会怎么样花式叠罗汉人体蜈蚣吗菜菜子已经怕到连夜提拔一大堆将军并且各路媒体开始做誓死抵抗美帝会援助之类的吹风节目了看来真的把他们吓坏了谁让他们开始改教科书各种攻击大陆了呢之前湾湾智库民调仅民众认为自己是中国人所以和平统一的希望我看是越来越小了五筒现在台海局势力量对比已经发生了根本性的变化全国第七次人口普查想做随时就可以做兴许哪天一觉醒来就普天同庆了也不一定东北都已经见过台风了台北啊也是时候见见东风了
AriexBear,不如大陆是真的但是战力为就太扯了不说别的大陆军机一出动对面基本能保持全程伴飞就这一件事情全世界有名有姓的真正的国家都有一大半做不到另外死硬台独都安排在了反斩首部队里了苦心经营几十年也不是白给的狮子搏兔也要用全力何况对面还是真的会咬人的兔子呢
继续者张付,台湾狐假虎威信心主要靠美国撑着美国只要铁了心死撑甚至出兵台湾兵战斗力倍增美国不撑台湾台军瞬间崩溃台军是国民党军传统民国投降派文人思想渗透的国民党军素来是投降传统负隅顽抗消灭投降立功有奖用台湾的小确幸文化宣传生活才是人生的方向你们放下武器就是诗与远方放下武器那里最美的风景就是人总之社会是水军队是鱼依依软语的社会文化氛围只能培养出金鱼台湾的文化氛围适合培养台妹和小受
BenShang,年台湾的悲观主义者和乐观主义者是什么样的乐观主义者在认简体字悲观主义者在学说普通话
