title,url
如何评价 2020 动画电影《姜子牙》？,https://www.zhihu.com/question/337873977
有已经去看完《姜子牙》的人吗？观感怎么样？,https://www.zhihu.com/question/423692918
如何看待马斯克说「不会接种新冠疫苗，人固有一死」，并称比尔盖茨是个傻瓜 (knucklehead)？,https://www.zhihu.com/question/423626288
2020 国庆档影片《夺冠》《急先锋》《姜子牙》《我和我的家乡》《一点就到家》你预计哪部作品票房会更高？,https://www.zhihu.com/question/414852894
如何看待特斯拉 Model 3 降价至 24.99 万元，是否说明使用磷酸铁锂电池？这个价格会带来什么影响？,https://www.zhihu.com/question/423719681
绿灯为过马路老人多亮了 97 秒，你怎么看？,https://www.zhihu.com/question/423414104
如何看待外媒称「中国准备对谷歌发起反垄断调查」？,https://www.zhihu.com/question/423648127
为什么日餐切开了就放上来就很贵，中餐就没有那么贵？,https://www.zhihu.com/question/416212341
iPhone12 是一出来就买还是等到双十一？,https://www.zhihu.com/question/408100615
我为了和女朋友的将来努力工作，每天都很累很累，她却说我不哄她，不关心她了，我有错吗？,https://www.zhihu.com/question/313192956
如何看待 9 月 29 日香港中区军用码头移交驻港部队？,https://www.zhihu.com/question/423461989
如何评价 S10 入围赛 LGD 战队的整体表现？,https://www.zhihu.com/question/423596006
NBA 总决赛第一场湖人 116:98 击败热火，如何评价本场比赛？,https://www.zhihu.com/question/423572946
能大概介绍一下《三体》这本书的主要内容吗？,https://www.zhihu.com/question/422616827
2020 国庆中秋你为啥不出门？这 8 天你打算干点啥？,https://www.zhihu.com/question/423573512
如何看待网红拉姆前夫涉故意杀人罪被捕获归案，他将面临怎样的法律严惩？,https://www.zhihu.com/question/421745283
台湾前陆军总司令称「台军战力几乎为零」，你怎么看？,https://www.zhihu.com/question/423637712
石原里美被曝与相识一年左右的同龄圈外男友结婚，你有什么想说的？,https://www.zhihu.com/question/423737325
已婚人士，最好不要和异性同事走得太近。你认同吗？你认为哪些行为已经属于暧昧了？,https://www.zhihu.com/question/390404843
父母资源有限，龙凤胎女儿总是抱怨我重男轻女不公平该怎么办？,https://www.zhihu.com/question/417785073
2020 年 10 月 1 日是中华人民共和国 71 岁生日，也是中秋节，你有什么想说的？,https://www.zhihu.com/question/423692706
如何看待原神于国庆、中秋发布的公告《关于节日活动相关问题的说明》？,https://www.zhihu.com/question/423680225
一个玩网抑云的《DOTA2》玩家会说怎么样的话？,https://www.zhihu.com/question/418675312
中国有哪些无心插柳柳成荫的事情？,https://www.zhihu.com/question/422311318
同样的配置下，为什么苹果电脑卖得比其他电脑贵？,https://www.zhihu.com/question/422499405
动画电影《姜子牙》有什么看点？,https://www.zhihu.com/question/423695151
你如何看《这！就是街舞 3》复活赛中，公孙无名、大婷、大饼、肖杰等大神纷纷退赛？,https://www.zhihu.com/question/423400708
怎么看待原神在海外的风评和口碑与国内的巨大差异？,https://www.zhihu.com/question/423581174
想去农村开个猫舍，可行吗？,https://www.zhihu.com/question/423155952
为什么现在人不喜欢喝茶，更多偏向于咖啡呢？,https://www.zhihu.com/question/22126763
列车驾驶员在看到前方有人卧轨，但是距离已经来不及刹车停止的情况下会刹车吗？,https://www.zhihu.com/question/422561958
怎么让台式电脑只有本人在才能用？,https://www.zhihu.com/question/423186935
吴京实战能力如何？,https://www.zhihu.com/question/399225301
为什么很多人说特斯拉很差，但特斯拉销量还那么好呢？,https://www.zhihu.com/question/397999104
为什么蒙犽身为无位移射手，在王者荣耀职业联赛（KPL）的优先级这么高，甚至可以一抢？,https://www.zhihu.com/question/385610369
现实中警察遇到冷锋一样厉害的罪犯怎么办？,https://www.zhihu.com/question/63678089
该支持男朋友创业还是考公务员？,https://www.zhihu.com/question/422852230
你们真觉得螺蛳粉好吃嘛？,https://www.zhihu.com/question/416273246
贵州一男子国庆假期将吃 23 台喜酒随份子钱，你的国庆有参加婚礼计划吗？打算随多少钱？,https://www.zhihu.com/question/423698472
如何评价王俊凯主持百花奖闭幕式上的表现？,https://www.zhihu.com/question/423062539
飞行教员真的有那么恐怖吗？,https://www.zhihu.com/question/385943713
玄幻小说最大缺点在哪？,https://www.zhihu.com/question/423254691
如何评价搭载英特尔 11 代处理器的全新戴尔灵越 7000 斩蓝屏笔记本？,https://www.zhihu.com/question/423495877
看了《姜子牙》，你有什么感受?,https://www.zhihu.com/question/423697194
李沁有哪些出圈神图?,https://www.zhihu.com/question/408938878
大一竞选班委和学生会都失败了，有点难受怎么办？,https://www.zhihu.com/question/298906472
大炮兵主义在现行的信息化战争中还能起多大作用?,https://www.zhihu.com/question/41782372
如何评价脱口秀演员李雪琴，真的是天赋异禀吗？,https://www.zhihu.com/question/421882312
如果说下一个瞬间是上一个瞬间决定的，那么这一套连锁反应的最初是不是就已经决定了所有的一切？,https://www.zhihu.com/question/423644315
如何以「姐姐，你别不要我」为开头写一个故事？,https://www.zhihu.com/question/422947222
