author,content
浅色回忆,不建议用这种带节奏的方式来提问因为原神的公告里真的没说这句话拿一个虚假的靶子来喷只会模糊事情的焦点他们说的是在设计游戏内的活动时我们会根据每个地区不同的时节与文化设计不同的节日活动后面还特意拿出海灯节来举例字里行间表达的意思是不是我们不做我们有只是现在没做嗯如果分是满分的话这个操作大约是分中秋和国庆不开活动的理由从策划角度推测很简单手游端月日才开放没有开活动的基础从工期角度来说八成就没做任何国庆和中秋的准备虽然开简单的签到发奖励活动可以很快做好并上线但从原神开服送的东西极为稀少来看策划为了拉高收入显然不愿意多送东西那么自然就不想再加一个类似的奖励活动了要是还送石头岂不是反效果如果送得多又不甘心但是运营工作要的从来不是合理而是合情这份公告里犯了五个大忌本来已经没活动了那么上策是诚恳表态并做出远期承诺比如海灯节会在什么时候上线比测试时又增添了什么新内容中策是装死假装无事发生过下策才是发出一个这样的公告试图正面硬刚我们会根据每个地区不同的时节与文化设计不同的节日活动是非常不妥的说法作为一个长期运营的手游现实中的重要节日绝对是增加粘度和获得收入的重点不可能不做几个月后的圣诞新年春节情人节真的能无视不能吧得在游戏里找个理由开个类似的节日吧那么此刻做出这样的宣言无非就是给未来的自己埋雷罢了中秋不过你过圣诞这样的质疑和节奏就会源源不绝蒙德的羽球活动是个梗平时玩玩可以起到调节气氛的作用但在这么一个解决负面问题的公告里玩这个就显得非常不正式和不认真福利活动是个补救措施然则这个活动从公告看似乎只在米游社原神专区举办等于对玩家群体区别对待米游社的用户不会感谢这种福利因为这是本来就应有的非米游社用户的玩家则只会觉得运营在区别对待清晨点发公告然后发现情况不妙直接关闭评论在社交平台上关闭评论是比随便删评论和精选评论更糟糕的操作毕竟删评我不喜欢某句话精选评论我只想让你们看我想让你们看的内容而关闭评论则等于你们都别说话了闭嘴听我说这波这波是真的在负五层
唐枫燃,还是在纠结自己到底是单机还是手游还是网游一次购买制的单机游戏按照游戏内剧情举办活动甚至不搞活动无可厚非手游是免费游戏需要保持用户粘性要充分考虑玩家最空闲的时间开展活动这必然要考虑节日问题就算是游戏内活动也要考虑和放假节日重合中秋在璃月搞活动也不会破坏游戏性大不了圣诞在蒙德元旦在稻妻春节再回璃月同样过节日反而会给玩家感同身受感就算你是全球游戏让国外玩家在中秋节在璃月过过中国风节日不香吗在收费机制一点上原神和手游一样绝对不能学单机不过这点应该也知道估计也是想做来不及做可以理解至于公告我怀疑就根本没有公关部门还禁止评论确定不是在米哈游的内鬼
哈维,虽然我对于米哈游没有什么恶意但是这波操作绝对是负分严重怀疑游戏策划是不是隔壁公司的内鬼首先为什么大部分游戏都会在节假日期间搞各种活动一方面是大家都有时间可以去玩游戏另一方面也是节假日期间玩家都有相对较高的消费意愿忙活了好几天终于有个假日休息那就冲个皮肤吧大多数人都会有这种想法所以说节假日期间是游戏拉高流水提高用户粘度的好机会一般没有游戏会不过节日的而米哈游这波直接宣布不过现实的节日过游戏中的节日属实迷惑行为那你的游戏节日要选择在什么时候过呢你选择非节假日过学生要上课员工要上班活动带来收益肯定要大打折扣节假日过你米哈游不过中秋国庆一旦过个圣诞情人怕不是要被全网冲烂这波啊我也不知道策划在第几层反正我是没有看懂
QAQ emmm,真就完美复刻去年方舟事件呗照着雷坑踩就算想做架空节日不得考虑到现实人的生活你非得在工作党上班学生党上学时出个活动出来显得你有多特立独行做架空挺好啊以后要是在借着春节端午骗钱或者架空节日和外国节日神奇巧合玩家往死里骂也是活该吧
小c901,这波操作我是真的服气虽然知道游戏刚刚上线要解决的问题有一大堆的情况下立刻更新什么大活动确实不太现实但是你发一封节日祝福的邮件内附几百原石和几个月饼很难吗你要嫌给原石太大方了心疼给几万摩拉也行啊或者你们不是想赚钱吗那出一个中秋节限定大礼包放一两个限定星武器或圣遗物之类的玩家不分分钟氪爆现在整的什么玩意啊在米游社搞抽奖就当中秋活动了且不说为了参加活动特地下载一个合不合理参加活动的人里也只有的人可以获得奖励这什么意思武器要抽角色要抽现在连活动奖励也要抽你就设计成参加活动的人里可以获得月卡其余人可以获得其他奖励比如个香香鸡原石摩拉不就行了吗靠我觉得我可以去当策划了
favorite,心里不舒服我实在想不通为什么一个中国的游戏在国庆和中秋节一点活动没有出了反作弊软件后台运营之后外网全面道歉发送补偿国内一点消息都没有运营跟死了一样真就当国内玩家都是傻子真久出了国际服跪舔洋大人宣发之前中国塞尔达二次元纸片人模式的破局者渠道商开的挑战者中国传统文化融入手机地图走向世界的开创人下图是去年中秋的贺图也就是说你可以做中秋活动今年全球上架之后双节一句不说需要你的时候热点给你蹭烂现在屁都不放美名其曰世界架空你整个脆弱树脂换个图片变成月饼每天发两块有问题吗能累死美工吗开个金币经验本体力减半活动改个数字也能累死程序员是不是这游戏级之后本来就很无聊了每天体力限制还这么死上线分钟就没东西玩了游戏策划就是有毛病吗你趁着国庆节前上架把这么个优化没有做完的半成品推上来不就是为了收割国内韭菜吗为什么国庆双节可以没有一点动静难道您也走国际化路线国服活动全部取消官网上说的是我们是一家国际化公司会聆听各种玩家的声音游戏不会映射任何现实中节日我目前只看到了跪舔洋大人把国内玩家当韭菜而且你最好别让我发现你以后活动映射情人节圣诞节万圣节复活节否则我必定以各种角度黑到你老家另外在论坛上爆炸之后你如果敢出一个国服专属氪金礼包又或者奖励金币月饼我就直接删游戏真有你的
笑脸猫,这个解释我很喜欢主动放弃节假日收割韭菜的机会我个人表示全力支持但要是以后圣诞之类的洋节跟你的活动套上了时间我能把你大伟哥拆了的马给你拼起来重新撕了
赵小康,的抽卡概率蚊子腿的开服奖励极其抠门的运营资源投放在我看来这就是官方在释放一个很明确的信息这游戏不欢迎白嫖零氪说白了氪金游戏的福利是零氪玩家为付费玩家的提供游戏体验而换来的而原神在社交性方面显然很孱弱没有元素级前都看不到其他人纯单机开服至今可能绝多大多零氪玩家都没有给付费玩家提供任何游戏体验自然厂家也就不会搞出太多福利来犒劳你
白丁,他可是有月亮的啊
羽纶,经常被人说是这次站米黑开服扭扭捏捏送了几十抽我当场失忆算你还行国庆中秋在我国这么大节日你没任何面对全玩家的活动米游社的活动才几个人参加这运营不开了留着过年不要求你计划好后三个月的活动活动一个月一个月的计划提前告知没错公主连结这么被冲烂后改正的诚意玩家都看到了这个不过分吧说什么游戏活动和现实节假日不挂钩这问题去年鹰角就被喷过我赞成不搞中秋搞羽球但你嘴硬说没必要在现实节假日中搞活动这波操作真的该打负一百分过节了手游玩家习惯性在节假日爆肝或消费的习惯你要尊重不你不尊重你就是和金钱与口碑过不去简简单单来个小活动有这么难吗实在不行道个歉对不起我们忙着开发新内容和改这次节日活动考虑不周然后发个原石送个四星角色最最最简单的公关处理办法了吧最后随便附张图
